# FieldId Time[UTC] deltaT[sec] RA Dec
01197 2021-09-02T14:36:15.267 177.023 63.00000 -59.30987
01079 2021-09-02T14:39:12.290 172.285 57.91304 -60.88372
00968 2021-09-02T14:42:04.575 179.71 52.84404 -62.45758
00862 2021-09-02T14:45:04.285 196.838 47.18447 -64.03143
00762 2021-09-02T14:48:21.123 281.613 40.40816 -65.60529
00666 2021-09-02T14:53:02.736 89.522 29.34783 -67.17914
00665 2021-09-02T14:54:32.258 453.739 25.43478 -67.17914
00660 2021-09-02T15:02:05.997 89.426 5.86957 -67.17914
00659 2021-09-02T15:03:35.423 325.13 1.95652 -67.17914
00846 2021-09-02T15:09:00.553 149.943 348.97958 -65.60529
00947 2021-09-02T15:11:30.496 219.163 344.27182 -64.03143
01054 2021-09-02T15:15:09.659 136.287 336.88074 -62.45758
01167 2021-09-02T15:17:25.946 138.499 333.39130 -60.88372
01286 2021-09-02T15:19:44.445 135.963 330.00000 -59.30987
01409 2021-09-02T15:22:00.408 133.483 326.88000 -57.73602
01538 2021-09-02T15:24:13.891 124.588 324.00000 -56.16217
01672 2021-09-02T15:26:18.479 128.672 321.61761 -54.58831
01812 2021-09-02T15:28:27.151 126.568 319.14893 -53.01446
01956 2021-09-02T15:30:33.719 452.242 316.84930 -51.44061
02580 2021-09-02T15:38:05.961 126.488 310.60977 -45.14520
02747 2021-09-02T15:40:12.449 319.21 308.57141 -43.57134
03274 2021-09-02T15:45:31.659 5411.184 305.30386 -38.84978
14230 2021-09-02T17:15:42.843 108.602 263.64709 42.99055
14397 2021-09-02T17:17:31.445 432.19 262.40964 44.56441
15017 2021-09-02T17:24:43.635 128.17 257.14285 50.85982
15159 2021-09-02T17:26:51.805 130.495 254.78874 52.43367
15297 2021-09-02T17:29:02.300 132.971 252.26279 54.00752
